"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 16 14:31:38 GMT 2022","Thu Jun 16 14:31:41 GMT 2022","2399","","DataInputTests","","DataInputTests","testDataInputMessageEmpty","repetition 1 of 2",""
"passed","Thu Jun 16 14:32:40 GMT 2022","Thu Jun 16 14:32:41 GMT 2022","781","","RegistrationTests","","RegistrationTests","testRegistrationEverythingIsFilled","repetition 1 of 2",""
"passed","Thu Jun 16 14:32:21 GMT 2022","Thu Jun 16 14:32:25 GMT 2022","4068","","DataInputTests","","DataInputTests","testDataInputEmailWithoutAtSign","repetition 1 of 2",""
"passed","Thu Jun 16 14:31:41 GMT 2022","Thu Jun 16 14:31:43 GMT 2022","2366","","DataInputTests","","DataInputTests","testDataInputMessageEmpty","repetition 2 of 2",""
"passed","Thu Jun 16 14:32:41 GMT 2022","Thu Jun 16 14:32:41 GMT 2022","767","","RegistrationTests","","RegistrationTests","testRegistrationEverythingIsFilled","repetition 2 of 2",""
"passed","Thu Jun 16 14:31:47 GMT 2022","Thu Jun 16 14:31:48 GMT 2022","1258","","LoginTests","","LoginTests","testLoginUsernameIsUnregistered","repetition 1 of 2",""
"passed","Thu Jun 16 14:31:43 GMT 2022","Thu Jun 16 14:31:48 GMT 2022","4997","","DataInputTests","","DataInputTests","testDataInputEmailNothingBeforeAtSign","repetition 1 of 2",""
"passed","Thu Jun 16 14:31:21 GMT 2022","Thu Jun 16 14:31:32 GMT 2022","11439","","LoginTests","","LoginTests","testLoginEverythingIsFilled","repetition 1 of 2",""
"passed","Thu Jun 16 14:32:45 GMT 2022","Thu Jun 16 14:32:45 GMT 2022","726","","RegistrationTests","","RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","repetition 1 of 2",""
"passed","Thu Jun 16 14:32:29 GMT 2022","Thu Jun 16 14:32:33 GMT 2022","3997","","DataInputTests","","DataInputTests","testDataInputEmailNothingAfterAtSign","repetition 1 of 2",""
"passed","Thu Jun 16 14:32:25 GMT 2022","Thu Jun 16 14:32:29 GMT 2022","3997","","DataInputTests","","DataInputTests","testDataInputEmailWithoutAtSign","repetition 2 of 2",""
"passed","Thu Jun 16 14:31:45 GMT 2022","Thu Jun 16 14:31:47 GMT 2022","1334","","LoginTests","","LoginTests","testLoginUsernameIsEmpty","repetition 2 of 2",""
"passed","Thu Jun 16 14:33:02 GMT 2022","Thu Jun 16 14:33:03 GMT 2022","1342","","LogoutTest","","LogoutTest","testLogoutWithLogoutButton","repetition 1 of 2",""
"failed","Thu Jun 16 14:32:48 GMT 2022","Thu Jun 16 14:32:49 GMT 2022","821","","RegistrationTests","","RegistrationTests","testRegistrationPasswordIsEmpty","repetition 2 of 2",""
"passed","Thu Jun 16 14:32:09 GMT 2022","Thu Jun 16 14:32:13 GMT 2022","3946","","DataInputTests","","DataInputTests","testDataInputEmailEmpty","repetition 2 of 2",""
"passed","Thu Jun 16 14:31:53 GMT 2022","Thu Jun 16 14:31:55 GMT 2022","1866","","DataInputTests","","DataInputTests","testDataInputEverythingIsFilled","repetition 1 of 2",""
"passed","Thu Jun 16 14:32:01 GMT 2022","Thu Jun 16 14:32:05 GMT 2022","4009","","DataInputTests","","DataInputTests","testDataInputNameEmpty","repetition 2 of 2",""
"passed","Thu Jun 16 14:31:51 GMT 2022","Thu Jun 16 14:31:52 GMT 2022","1346","","LoginTests","","LoginTests","testLoginPasswordIsUnregistered","repetition 2 of 2",""
"failed","Thu Jun 16 14:32:41 GMT 2022","Thu Jun 16 14:32:42 GMT 2022","786","","RegistrationTests","","RegistrationTests","testRegistrationUsernameIsEmpty","repetition 1 of 2",""
"passed","Thu Jun 16 14:31:55 GMT 2022","Thu Jun 16 14:31:57 GMT 2022","1831","","DataInputTests","","DataInputTests","testDataInputEverythingIsFilled","repetition 2 of 2",""
"failed","Thu Jun 16 14:32:50 GMT 2022","Thu Jun 16 14:32:51 GMT 2022","774","","RegistrationTests","","RegistrationTests","testRegistrationEmailWithoutDot","repetition 2 of 2",""
"passed","Thu Jun 16 14:31:16 GMT 2022","Thu Jun 16 14:31:25 GMT 2022","8973","","PaginationTest","","PaginationTest","testPagination","repetition 1 of 2",""
"passed","Thu Jun 16 14:31:19 GMT 2022","Thu Jun 16 14:31:21 GMT 2022","1393","","LoginTests","","LoginTests","testLoginPasswordIsEmpty","repetition 2 of 2",""
"passed","Thu Jun 16 14:32:46 GMT 2022","Thu Jun 16 14:32:47 GMT 2022","741","","RegistrationTests","","RegistrationTests","testRegistrationDescriptionIsEmpty","repetition 1 of 2",""
"passed","Thu Jun 16 14:32:33 GMT 2022","Thu Jun 16 14:32:37 GMT 2022","4083","","DataInputTests","","DataInputTests","testDataInputEmailNothingAfterAtSign","repetition 2 of 2",""
"passed","Thu Jun 16 14:31:32 GMT 2022","Thu Jun 16 14:31:44 GMT 2022","11929","","LoginTests","","LoginTests","testLoginEverythingIsFilled","repetition 2 of 2",""
