"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 14 15:39:54 GMT 2022","Tue Jun 14 15:39:54 GMT 2022","710","","RegistrationTests","","RegistrationTests","testUnsuccessfulRegistration","repetition 2 of 2",""
"passed","Tue Jun 14 15:41:11 GMT 2022","Tue Jun 14 15:41:12 GMT 2022","1482","","DataListingTest","","DataListingTest","testDataListing","repetition 2 of 2",""
"passed","Tue Jun 14 15:40:38 GMT 2022","Tue Jun 14 15:40:42 GMT 2022","3976","","DataInputTests","","DataInputTests","testDataInputUnsuccessfulEmptyBeforeAtSign","repetition 1 of 2",""
"passed","Tue Jun 14 15:40:30 GMT 2022","Tue Jun 14 15:40:34 GMT 2022","3942","","DataInputTests","","DataInputTests","testDataInputUnsuccessfulEmptyName","repetition 1 of 2",""
"passed","Tue Jun 14 15:41:46 GMT 2022","Tue Jun 14 15:41:47 GMT 2022","873","","LoginTests","","LoginTests","testLoginWithWrongUsername","repetition 1 of 2",""
"passed","Tue Jun 14 15:39:54 GMT 2022","Tue Jun 14 15:40:01 GMT 2022","6734","","PaginationTest","","PaginationTest","testPagination","repetition 1 of 2",""
"failed","Tue Jun 14 15:39:53 GMT 2022","Tue Jun 14 15:39:54 GMT 2022","716","","RegistrationTests","","RegistrationTests","testUnsuccessfulRegistration","repetition 1 of 2",""
"passed","Tue Jun 14 15:41:16 GMT 2022","Tue Jun 14 15:41:19 GMT 2022","3410","","TermsAndConditionsTests","","TermsAndConditionsTests","testAcceptTermsAndConditions","repetition 2 of 2",""
"passed","Tue Jun 14 15:40:26 GMT 2022","Tue Jun 14 15:40:30 GMT 2022","3898","","DataInputTests","","DataInputTests","testDataInputUnsuccessfulEmptyCheckbox","repetition 2 of 2",""
"passed","Tue Jun 14 15:41:22 GMT 2022","Tue Jun 14 15:41:22 GMT 2022","875","","LoginTests","","LoginTests","testLoginWithWrongPassword","repetition 1 of 2",""
"passed","Tue Jun 14 15:41:01 GMT 2022","Tue Jun 14 15:41:05 GMT 2022","4047","","DataInputTests","","DataInputTests","testDataInputUnsuccessfulEmptyEmail","repetition 1 of 2",""
"passed","Tue Jun 14 15:41:22 GMT 2022","Tue Jun 14 15:41:23 GMT 2022","870","","LoginTests","","LoginTests","testLoginWithWrongPassword","repetition 2 of 2",""
"passed","Tue Jun 14 15:40:54 GMT 2022","Tue Jun 14 15:40:58 GMT 2022","3889","","DataInputTests","","DataInputTests","testDataInputUnsuccessfulWithoutAtSign","repetition 2 of 2",""
"passed","Tue Jun 14 15:40:09 GMT 2022","Tue Jun 14 15:40:11 GMT 2022","1345","","LogoutTest","","LogoutTest","testLogoutSuccessful","repetition 2 of 2",""
